ID;Esti...;Care este varsta ta in ani impliniti?;Locuiesti in mediul...;in ce judet locuiesti?;Cu ce frecventa te uiti la televizor? *Raspuns unic.*;Care este ultima forma de invatamant pe care ai absolvit-o?;Care este starea ta civila?;Ai copii?;Cati copii ai?;Cate persoane locuiesc cu tine permanent (nu doar in vizita)? Daca locuiesti singur(a), scrie 0.;Care este ocupatia ta curenta?;incadreaza venitul tau total net in una dintre categoriile urmatoare:;in ce masura iti place sau nu aceasta reclama?;si in ce masura simti ca ti se adreseaza/ se potriveste pentru tine personal, serviciul promovat?;Voi contracta serviciile Brand 3;Cum consideri pretul de *24.6 Ron (5 euro) / luna* pentru *un abonament lunar al serviciului de streaming al Brand 3?;Cum consideri pretul de *39.4 Ron (8 euro) / luna* pentru un abonament lunar de *daca ar include si continut suplimentar?*;Folosind o scala de la 0 la 10, in ce masura ai recomanda familiei, prietenilor, cunoscutilor *furnizorul de televiziune pe care il folosesti in prezent*?;Intentionezi ca in urmatoarele 6 luni sa schimbi furnizorul actual de servicii de televiziune? *Raspuns unic.*;Pe langa serviciile de televiziune traditionala, in ce masura iei in considerare contractarea serviciilor de televiziune online sau streaming? *Raspuns unic.*;Care *cel mai important motiv* pentru care *nu te uiti* la televizor? (Alege un singurul motiv, cel care primeaza in decizia de a nu te uita la TV.);Care este criteriul pentru care alegeti un serviciu de televiziune?;;;;;;;;;;;;;;Acasa, ce tip de televiziune urmaresti?;;;;
2827;Barbat;44;Urban;ARAD;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;3;Detin o afacere;751 - 1.000 lei;Nu prea-mi place;Nu mi se potriveste deloc;Cu siguranta nu;;;6;Probabil il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;Pretul abonamentului / serviciului;;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
2828;Femeie;53;Urban;BUCURESTI;De 4-5 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;4;Muncitor calificat;3.001 - 4.000 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;;;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
2829;Barbat;26;Rural;GIURGIU;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;1;Nu lucrez;5.001 - 6.500 lei;Asa si-asa;Asa si-asa;Mai degraba nu;Scump;Scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
2830;Barbat;50;Rural;BRAILA;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;1;Muncitor calificat;Nu realizez venituri;Asa si-asa;Asa si-asa;Poate da, poate nu;Scump;Scump;8;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2831;Barbat;26;Rural;MARAMURES;De 4-5 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Nu;;4;Functionar;2.001 - 3.000 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Probabil da;;;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;;;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2832;Barbat;46;Urban;TIMIS;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Nu;;2;Muncitor calificat;Sub 750 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Poate da, poate nu;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;Sa aiba oferte/ promotii;;;;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2833;Barbat;31;Urban;DOLJ;De 2-3 ori pe saptamana;Facultate (3-5 ani);Necasatorit/a;Nu;;1;Manager / director;2.001 - 3.000 lei;Nu prea-mi place;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;;;;;;;;;;;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
2834;Barbat;40;Urban;MARAMURES;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Muncitor calificat;1.001 - 1.700 lei;Asa si-asa;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
2835;Barbat;46;Rural;GIURGIU;De 4-5 ori pe saptamana;Refuz sa raspund;Divortat/a / Separat/a;Da;1 copil;5;Refuz;751 - 1.000 lei;Nu-mi place deloc;Mi se potriveste destul de bine;Probabil da;Acceptabil;Acceptabil;10;Probabil il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
2836;Barbat;39;Rural;CLUJ;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;4;Detin o afacere;1.701 - 2.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;9;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;;;;
2837;Barbat;54;Urban;ARGES;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Nu;;5;Profesii liberale: architect, notar, avocat, specialist IT, etc.;1.001 - 1.700 lei;Nu prea-mi place;Asa si-asa;Poate da, poate nu;Ieftin;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
2838;Barbat;49;Rural;BISTRITA-NASAUD;De 2-3 ori pe saptamana;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Muncitor calificat;Nu realizez venituri;Asa si-asa;Nu prea mi se potriveste;Probabil da;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;Rapiditatea rezolvarii problemelor tehnice;Vechimea pe piata;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2839;Barbat;47;Rural;SUCEAVA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Nu;;3;Nu lucrez;2.001 - 3.000 lei;Asa si-asa;Mi se potriveste destul de bine;Probabil da;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
2840;Barbat;48;Rural;CALARASI;Zilnic;Refuz sa raspund;Uniune consensuala/ Casatorit/a;Da;1 copil;1;Muncitor calificat;Sub 750 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Probabil da;Acceptabil;Acceptabil;9;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Ma distrage de la alte activitati/ as pierde timpul;;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;Vechimea pe piata;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
2841;Barbat;41;Urban;MURES;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Nu;;4;Refuz;Nu realizez venituri;Asa si-asa;Asa si-asa;Probabil da;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;Vechimea pe piata;;Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2842;Barbat;55;Rural;ARAD;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Muncitor calificat;4.001 - 5.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Prea scump;Prea scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
2843;Barbat;45;Rural;NEAMT;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Detin o afacere;Sub 750 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;;;9;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;Sa aiba oferte/ promotii;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2844;Barbat;48;Urban;CONSTANTA;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;3 copii;0;Muncitor calificat;1.001 - 1.700 lei;Asa si-asa;Mi se potriveste destul de bine;Probabil da;;;9;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2845;Barbat;47;Urban;SUCEAVA;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;1 copil;1;Profesii liberale: architect, notar, avocat, specialist IT, etc.;Nu realizez venituri;Asa si-asa;Nu prea mi se potriveste;Mai degraba nu;Scump;Scump;8;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
2846;Barbat;53;Urban;BACAU;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Profesii liberale: architect, notar, avocat, specialist IT, etc.;Sub 750 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;Scump;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;Vechimea pe piata;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2847;Femeie;56;Rural;BUCURESTI;De 2-3 ori pe saptamana;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Nu lucrez;Sub 750 lei;Asa si-asa;Mi se potriveste destul de bine;Poate da, poate nu;Prea scump;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;Vechimea pe piata;;;;;;;;;Televiziune prin cablu;;;;
2848;Femeie;27;Urban;CONSTANTA;Zilnic;Refuz sa raspund;Refuz sa raspund;Da;1 copil;2;Refuz;Refuz sa raspund;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2849;Femeie;37;Rural;IASI;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Nu;;1;Inginer, economist, doctor, professor;Refuz sa raspund;Asa si-asa;Asa si-asa;Poate da, poate nu;Scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2850;Barbat;46;Rural;BISTRITA-NASAUD;De 4-5 ori pe saptamana;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;3 copii;2;Nu lucrez;1.701 - 2.000 lei;Asa si-asa;Asa si-asa;Cu siguranta nu;Ieftin;Acceptabil;5;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
2851;Femeie;32;Rural;VASLUI;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;0;Muncitor calificat;Refuz sa raspund;imi place foarte mult;Asa si-asa;Probabil da;;;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2852;Femeie;24;Urban;BUCURESTI;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Detin o afacere;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Ma distrage de la alte activitati/ as pierde timpul;;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2853;Barbat;43;Rural;GIURGIU;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;1;Inginer, economist, doctor, professor;1.701 - 2.000 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Probabil da;Acceptabil;Prea scump;10;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;;;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;;;;
2854;Barbat;34;Rural;BOTOSANI;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;4;Muncitor calificat;1.701 - 2.000 lei;Nu prea-mi place;Nu prea mi se potriveste;Probabil da;Prea scump;Prea scump;8;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
2855;Barbat;53;Rural;MARAMURES;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;5;Muncitor calificat;;Nu prea-mi place;Nu prea mi se potriveste;Cu siguranta nu;;;10;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2856;Femeie;44;Rural;ILFOV;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;5;Detin o afacere;1.701 - 2.000 lei;Nu prea-mi place;Nu prea mi se potriveste;Poate da, poate nu;Prea scump;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
2857;Barbat;37;Rural;ARAD;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;1;Manager / director;Nu realizez venituri;Asa si-asa;Mi se potriveste destul de bine;Poate da, poate nu;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;;;;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;;Televiziune prin satelit;;;
2858;Barbat;36;Rural;SATU MARE;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Muncitor calificat;1.001 - 1.700 lei;Nu-mi place deloc;Asa si-asa;Poate da, poate nu;Scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;;Televiziune prin satelit;;;
2859;Barbat;37;Urban;IASI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Functionar;4.001 - 5.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Scump;Scump;7;Probabil NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;Sa aiba oferte/ promotii;;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
2860;Barbat;49;Urban;BUCURESTI;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;0;Refuz;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;Ieftin;Acceptabil;7;Poate il voi schimba, poate nu;Probabil voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;Pretul abonamentului / serviciului;;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2861;Femeie;21;Rural;DAMBOVITA;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Refuz;751 - 1.000 lei;Asa si-asa;Asa si-asa;Cu siguranta nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2862;Barbat;33;Urban;TULCEA;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;3;Elev / Student;1.001 - 1.700 lei;Nu-mi place deloc;Asa si-asa;Cu siguranta nu;Ieftin;Acceptabil;9;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;;;;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
2863;Barbat;33;Urban;ILFOV;O data pe luna;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Refuz;Refuz sa raspund;Nu prea-mi place;Mi se potriveste foarte bine;Probabil da;Acceptabil;Prea scump;9;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
2864;Barbat;30;Urban;IASI;Zilnic;Studii postuniversitare (master, doctorat);Necasatorit/a;Da;1 copil;0;Refuz;Refuz sa raspund;Asa si-asa;Nu mi se potriveste deloc;Mai degraba nu;Prea scump;Scump;10;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
2865;Barbat;33;Urban;VASLUI;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Nu;;3;Inginer, economist, doctor, professor;751 - 1.000 lei;imi place mult;Mi se potriveste foarte bine;Cu siguranta da;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
2866;Barbat;22;Rural;VASLUI;Zilnic;Treapta 1 de liceu (10 clase);Refuz sa raspund;Da;2 copii;5;Muncitor calificat;751 - 1.000 lei;imi place foarte mult;Mi se potriveste destul de bine;Probabil da;Scump;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
2867;Barbat;36;Rural;BOTOSANI;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;1;Nu lucrez;Sub 750 lei;Nu prea-mi place;Nu prea mi se potriveste;Cu siguranta nu;Acceptabil;Prea scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
2868;Barbat;34;Rural;VRANCEA;Zilnic;Liceu (12 clase);Divortat/a / Separat/a;Da;4 copii;1;Nu lucrez;Refuz sa raspund;imi place mult;Asa si-asa;Probabil da;Acceptabil;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;;;;;
2869;Barbat;53;Rural;GIURGIU;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Profesii liberale: architect, notar, avocat, specialist IT, etc.;Nu realizez venituri;Asa si-asa;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;;;;;
